Category: All categories

Month,uah to usd: (Ukraine)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,12
2007-07,12
2007-08,22
2007-09,10
2007-10,8
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,7
2008-06,0
2008-07,7
2008-08,7
2008-09,6
2008-10,32
2008-11,11
2008-12,15
2009-01,5
2009-02,0
2009-03,5
2009-04,0
2009-05,15
2009-06,11
2009-07,0
2009-08,6
2009-09,5
2009-10,9
2009-11,5
2009-12,8
2010-01,9
2010-02,4
2010-03,0
2010-04,9
2010-05,15
2010-06,5
2010-07,20
2010-08,10
2010-09,18
2010-10,21
2010-11,8
2010-12,20
2011-01,2
2011-02,11
2011-03,9
2011-04,8
2011-05,9
2011-06,15
2011-07,10
2011-08,15
2011-09,15
2011-10,14
2011-11,5
2011-12,13
2012-01,9
2012-02,7
2012-03,4
2012-04,9
2012-05,11
2012-06,15
2012-07,22
2012-08,16
2012-09,11
2012-10,15
2012-11,13
2012-12,16
2013-01,16
2013-02,13
2013-03,14
2013-04,13
2013-05,15
2013-06,16
2013-07,21
2013-08,22
2013-09,27
2013-10,20
2013-11,21
2013-12,22
2014-01,25
2014-02,46
2014-03,49
2014-04,64
2014-05,45
2014-06,39
2014-07,38
2014-08,51
2014-09,56
2014-10,49
2014-11,55
2014-12,65
2015-01,44
2015-02,100
2015-03,82
2015-04,53
2015-05,48
2015-06,61
2015-07,57
2015-08,53
2015-09,49
2015-10,51
2015-11,51
2015-12,48
2016-01,45
2016-02,39
2016-03,42
2016-04,44
2016-05,46
2016-06,44
2016-07,44
2016-08,47
2016-09,55
2016-10,43
2016-11,45
2016-12,46
2017-01,53
2017-02,46
2017-03,47
2017-04,58
2017-05,50
2017-06,59
2017-07,49
2017-08,48
2017-09,52
2017-10,47
2017-11,65
2017-12,66
2018-01,71
2018-02,68
2018-03,61
