Category: All categories

Month,курс валют: (Ukraine)
2004-01,11
2004-02,6
2004-03,7
2004-04,7
2004-05,11
2004-06,11
2004-07,11
2004-08,5
2004-09,18
2004-10,13
2004-11,10
2004-12,9
2005-01,15
2005-02,10
2005-03,13
2005-04,21
2005-05,12
2005-06,15
2005-07,15
2005-08,19
2005-09,11
2005-10,11
2005-11,11
2005-12,11
2006-01,14
2006-02,11
2006-03,12
2006-04,9
2006-05,11
2006-06,11
2006-07,12
2006-08,12
2006-09,10
2006-10,11
2006-11,14
2006-12,6
2007-01,8
2007-02,11
2007-03,8
2007-04,12
2007-05,10
2007-06,12
2007-07,13
2007-08,13
2007-09,14
2007-10,13
2007-11,16
2007-12,12
2008-01,13
2008-02,14
2008-03,22
2008-04,16
2008-05,26
2008-06,19
2008-07,21
2008-08,18
2008-09,22
2008-10,45
2008-11,34
2008-12,67
2009-01,47
2009-02,41
2009-03,31
2009-04,24
2009-05,25
2009-06,24
2009-07,32
2009-08,37
2009-09,37
2009-10,28
2009-11,24
2009-12,21
2010-01,25
2010-02,27
2010-03,24
2010-04,25
2010-05,26
2010-06,27
2010-07,25
2010-08,25
2010-09,23
2010-10,25
2010-11,20
2010-12,20
2011-01,17
2011-02,17
2011-03,17
2011-04,17
2011-05,18
2011-06,17
2011-07,18
2011-08,22
2011-09,25
2011-10,21
2011-11,19
2011-12,18
2012-01,18
2012-02,17
2012-03,16
2012-04,12
2012-05,15
2012-06,19
2012-07,18
2012-08,17
2012-09,21
2012-10,18
2012-11,20
2012-12,14
2013-01,14
2013-02,13
2013-03,13
2013-04,13
2013-05,12
2013-06,14
2013-07,15
2013-08,14
2013-09,16
2013-10,15
2013-11,14
2013-12,17
2014-01,19
2014-02,53
2014-03,59
2014-04,77
2014-05,39
2014-06,32
2014-07,31
2014-08,58
2014-09,51
2014-10,32
2014-11,52
2014-12,64
2015-01,40
2015-02,100
2015-03,80
2015-04,47
2015-05,38
2015-06,40
2015-07,52
2015-08,48
2015-09,37
2015-10,42
2015-11,40
2015-12,38
2016-01,44
2016-02,40
2016-03,35
2016-04,33
2016-05,26
2016-06,25
2016-07,25
2016-08,34
2016-09,36
2016-10,23
2016-11,32
2016-12,32
2017-01,37
2017-02,26
2017-03,23
2017-04,23
2017-05,23
2017-06,24
2017-07,24
2017-08,25
2017-09,29
2017-10,25
2017-11,23
2017-12,29
2018-01,32
2018-02,32
2018-03,30
