Category: All categories

Month,курс валют нбу: (Ukraine)
2004-01,56
2004-02,0
2004-03,22
2004-04,0
2004-05,0
2004-06,30
2004-07,16
2004-08,16
2004-09,0
2004-10,0
2004-11,36
2004-12,10
2005-01,50
2005-02,10
2005-03,0
2005-04,37
2005-05,42
2005-06,17
2005-07,26
2005-08,25
2005-09,0
2005-10,26
2005-11,6
2005-12,28
2006-01,22
2006-02,21
2006-03,13
2006-04,29
2006-05,22
2006-06,14
2006-07,9
2006-08,4
2006-09,15
2006-10,13
2006-11,20
2006-12,3
2007-01,21
2007-02,14
2007-03,19
2007-04,10
2007-05,7
2007-06,21
2007-07,20
2007-08,14
2007-09,27
2007-10,19
2007-11,23
2007-12,27
2008-01,16
2008-02,13
2008-03,22
2008-04,25
2008-05,28
2008-06,29
2008-07,30
2008-08,31
2008-09,33
2008-10,80
2008-11,63
2008-12,100
2009-01,84
2009-02,67
2009-03,37
2009-04,37
2009-05,54
2009-06,45
2009-07,64
2009-08,61
2009-09,62
2009-10,46
2009-11,38
2009-12,31
2010-01,53
2010-02,53
2010-03,52
2010-04,57
2010-05,53
2010-06,56
2010-07,58
2010-08,40
2010-09,41
2010-10,40
2010-11,38
2010-12,20
2011-01,20
2011-02,23
2011-03,23
2011-04,22
2011-05,24
2011-06,22
2011-07,28
2011-08,28
2011-09,31
2011-10,27
2011-11,29
2011-12,23
2012-01,23
2012-02,20
2012-03,17
2012-04,17
2012-05,19
2012-06,19
2012-07,20
2012-08,16
2012-09,18
2012-10,19
2012-11,17
2012-12,11
2013-01,9
2013-02,11
2013-03,9
2013-04,11
2013-05,10
2013-06,11
2013-07,12
2013-08,11
2013-09,10
2013-10,12
2013-11,10
2013-12,10
2014-01,10
2014-02,32
2014-03,29
2014-04,38
2014-05,21
2014-06,17
2014-07,18
2014-08,27
2014-09,25
2014-10,16
2014-11,25
2014-12,27
2015-01,14
2015-02,46
2015-03,31
2015-04,19
2015-05,18
2015-06,19
2015-07,26
2015-08,17
2015-09,12
2015-10,15
2015-11,16
2015-12,14
2016-01,12
2016-02,11
2016-03,11
2016-04,10
2016-05,8
2016-06,9
2016-07,10
2016-08,9
2016-09,11
2016-10,7
2016-11,10
2016-12,11
2017-01,10
2017-02,8
2017-03,8
2017-04,7
2017-05,7
2017-06,9
2017-07,9
2017-08,10
2017-09,11
2017-10,10
2017-11,8
2017-12,10
2018-01,10
2018-02,10
2018-03,8
