Category: All categories

Month,United States Dollar: (Ukraine)
2004-01,18
2004-02,68
2004-03,0
2004-04,16
2004-05,71
2004-06,43
2004-07,90
2004-08,0
2004-09,36
2004-10,48
2004-11,57
2004-12,55
2005-01,57
2005-02,72
2005-03,23
2005-04,52
2005-05,64
2005-06,48
2005-07,25
2005-08,39
2005-09,27
2005-10,36
2005-11,23
2005-12,42
2006-01,37
2006-02,64
2006-03,29
2006-04,37
2006-05,45
2006-06,70
2006-07,27
2006-08,99
2006-09,47
2006-10,73
2006-11,49
2006-12,72
2007-01,63
2007-02,35
2007-03,41
2007-04,50
2007-05,56
2007-06,45
2007-07,57
2007-08,56
2007-09,67
2007-10,50
2007-11,50
2007-12,59
2008-01,52
2008-02,54
2008-03,68
2008-04,59
2008-05,69
2008-06,52
2008-07,55
2008-08,60
2008-09,60
2008-10,100
2008-11,83
2008-12,88
2009-01,81
2009-02,72
2009-03,63
2009-04,50
2009-05,56
2009-06,59
2009-07,74
2009-08,66
2009-09,66
2009-10,48
2009-11,55
2009-12,50
2010-01,53
2010-02,47
2010-03,62
2010-04,61
2010-05,55
2010-06,53
2010-07,58
2010-08,48
2010-09,48
2010-10,60
2010-11,52
2010-12,50
2011-01,41
2011-02,42
2011-03,51
2011-04,48
2011-05,46
2011-06,45
2011-07,55
2011-08,55
2011-09,49
2011-10,44
2011-11,43
2011-12,42
2012-01,40
2012-02,40
2012-03,37
2012-04,37
2012-05,43
2012-06,45
2012-07,51
2012-08,44
2012-09,50
2012-10,41
2012-11,42
2012-12,39
2013-01,37
2013-02,37
2013-03,37
2013-04,41
2013-05,37
2013-06,38
2013-07,46
2013-08,48
2013-09,43
2013-10,42
2013-11,40
2013-12,39
2014-01,40
2014-02,56
2014-03,56
2014-04,63
2014-05,54
2014-06,45
2014-07,46
2014-08,57
2014-09,60
2014-10,62
2014-11,64
2014-12,72
2015-01,66
2015-02,87
2015-03,78
2015-04,66
2015-05,58
2015-06,61
2015-07,71
2015-08,75
2015-09,60
2015-10,57
2015-11,61
2015-12,62
2016-01,64
2016-02,56
2016-03,56
2016-04,58
2016-05,56
2016-06,70
2016-07,63
2016-08,58
2016-09,61
2016-10,53
2016-11,60
2016-12,59
2017-01,63
2017-02,54
2017-03,59
2017-04,68
2017-05,67
2017-06,75
2017-07,76
2017-08,81
2017-09,79
2017-10,73
2017-11,80
2017-12,96
2018-01,89
2018-02,82
2018-03,71
